username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-04-29 14:06;5;7;"RT @alvinfoo How will the future of #autonmous #taxi and #Uber or #Lyft look like? #SelfDriving #Driverless #AutonomousVehicles #SelfDrivingCars #electriccars #ElectricVehicles #autonomousdriving #Automotive #EmergingTechnologies #innovations #technology https:// twitter.com/alvinfoo/statu s/1122884716359606274 …";;@alvinfoo;#autonmous #taxi #Uber #Lyft #SelfDriving #Driverless #AutonomousVehicles #SelfDrivingCars #electriccars #ElectricVehicles #autonomousdriving #Automotive #EmergingTechnologies #innovations #technology;"1122940198516609024";https://twitter.com/mvollmer1/status/1122940198516609024
;2019-04-29 14:02;0;1;"Check out @AdamAtlas for payments in #selfdrivingcars";;@AdamAtlas;#selfdrivingcars;"1122939341834211329";https://twitter.com/drivebywirelaw/status/1122939341834211329
;2019-04-29 13:35;1;3;"Please keep Tesla’s New ‘Full Self-Driving’ car out of cities - at least when driverless #SelfDrivingCars #urbanMobility #ElectricVehicle https://www. wired.com/story/teslas-n ew-chip-holds-key-full-self-driving/ …";;;#SelfDrivingCars #urbanMobility #ElectricVehicle;"1122932410755244032";https://twitter.com/jmskibsted/status/1122932410755244032
;2019-04-29 13:13;0;3;"South Korea's SK Telecom to develop a 5G-based map for self-driving cars https://www. google.com/amp/s/www.cnbc .com/amp/2019/04/29/south-koreas-sk-telecom-to-develop-5g-based-map-for-self-driving-cars.html … @CNBC #SelfDrivingCars #5G #AutonomousVehicles";;@CNBC;#SelfDrivingCars #5G #AutonomousVehicles;"1122926808343531523";https://twitter.com/DriverlessNow/status/1122926808343531523
;2019-04-29 13:12;3;5;"Carmakers face pressure to set self-driving car rules https://www. google.com/amp/s/amp.detr oitnews.com/amp/3554772002 … @detroitnews #SelfDrivingCars #AutonomousVehicles";;@detroitnews;#SelfDrivingCars #AutonomousVehicles;"1122926597089124352";https://twitter.com/DriverlessNow/status/1122926597089124352
;2019-04-29 13:11;0;2;"Trade the electric and self-driving car revolution https://www. forexlive.com/Education/!/tr ade-the-electric-and-self-driving-car-revolution-20190429 … @FOXlive1 #SelfDrivingCars #electriccars #autonomousvehicles";;@FOXlive1;#SelfDrivingCars #electriccars #autonomousvehicles;"1122926289285828608";https://twitter.com/DriverlessNow/status/1122926289285828608
;2019-04-29 13:01;1;0;"New way to 'see' objects accelerates future of #selfdrivingcars : http:// ow.ly/FSnb30oxaML via @techxplore pic.twitter.com/uIYm6NsaMq";;@techxplore;#selfdrivingcars;"1122923843834789890";https://twitter.com/cgi_motion/status/1122923843834789890
;2019-04-29 12:45;0;0;"Comment Of The Day: Make #Autonomous #Cars Work Or Make Them Illegal Edition https:// jalopnik.com/comment-of-the -day-make-autonomous-cars-work-or-make-t-1834342473 … #SmartCity #AI #IoT #Robotics #tech #5G #driverless #selfdriving #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #AutonomousVehicles #transport #mobility pic.twitter.com/eUoelUKkwa";;;#Autonomous #Cars #SmartCity #AI #IoT #Robotics #tech #5G #driverless #selfdriving #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #AutonomousVehicles #transport #mobility;"1122919920596135937";https://twitter.com/guidaautonoma/status/1122919920596135937
;2019-04-29 12:41;1;1;"Autonomous vehicles make congestion pricing even more critical, via @TechCrunch https:// buff.ly/2GL8nL5 #AutonomousVehicles #connectedcars #selfdrivingcars pic.twitter.com/G2eGRaVKMn";;@TechCrunch;#AutonomousVehicles #connectedcars #selfdrivingcars;"1122918724225380353";https://twitter.com/VehicleInsights/status/1122918724225380353
;2019-04-29 12:38;1;1;"#Jaguar is developing a "Smart wallet" technology which will allow Drivers to earn #cryptocurrency #SelfDrivingCars #SelfDriving #teslamodel3 #TechNews #technology #tech #artificialintelligence #AI #techlite #autonomous #Crypto #cryptotrading #jaguarlandrover pic.twitter.com/UlPukJixDw";;;#Jaguar #cryptocurrency #SelfDrivingCars #SelfDriving #teslamodel3 #TechNews #technology #tech #artificialintelligence #AI #techlite #autonomous #Crypto #cryptotrading #jaguarlandrover;"1122918178349129728";https://twitter.com/TheTechLite/status/1122918178349129728
